Ticker,PE,PB,ROE,RevenueGrowth,DebtToEquity
EQT,18.326982,1.5561485,0.08488,0.514,30.675
ERIE,22.82339,6.409467,0.30444,0.067,2.353
ES,19.044075,1.617795,0.0861,0.051,184.357
ESS,19.009056,2.8805883,0.15987,0.062,115.144
ETN,35.46115,7.2436824,0.20653,0.101,59.661
ETR,23.618227,2.5702262,0.11188,0.125,179.362
EVRG,20.907358,1.7167085,0.08454,-0.001,142.45
EW,35.68421,4.6295667,0.13492,0.147,6.862
EXC,15.935943,1.6092284,0.10308,0.09,177.601
EXE,35.349056,1.4749646,0.061189998,0.03193,27.95
EXPD,26.318031,9.4346485,0.36505002,-0.035,24.549
EXPE,26.247768,24.371033,0.53886,0.087,250.289
EXR,31.074324,2.1504388,0.06786,0.034,94.252
F,11.965518,1.1669749,0.10295,0.094,346.673
FANG,11.457023,1.2032675,0.10901,0.42,35.66
FAST,39.779816,12.622999,0.33291,0.111,11.205
FCX,43.021427,4.461812,0.13946,-0.015,33.768
FDS,16.078382,4.369846,0.28831,0.068,71.961
FDX,17.696321,2.6911352,0.15886,0.139,
FE,20.58261,2.1367636,0.11192001,0.112,193.669
FFIV,22.8343,4.431171,0.20844,0.073,6.638
FICO,54.05135,-19.229467,,0.164,
FIS,172.65625,2.069056,0.011829999,0.057,94.272
FISV,9.804615,1.3623344,,,
FITB,14.106742,1.6640711,0.121929996,0.115,
FIX,49.74303,17.99688,0.43842,0.352,18.973
FOX,14.538802,2.3887937,0.17272,0.049,60.136
FOXA,16.13747,2.6514628,0.17272,0.049,60.136
FRT,25.48111,2.8567395,0.10516,0.06,138.76
FSLR,17.175934,2.6843464,0.16864,0.797,9.893
FTNT,33.578514,82.08081,0.0228043,0.144,148.116
FTV,20.873518,2.578865,0.103649996,0.023,52.244
GD,22.724272,3.6995006,0.17658001,0.078,38.205
GDDY,17.124361,148.25958,0.036945399999999996,0.103,4217.211
GE,37.18667,17.226683,0.44692,0.176,108.445
GEHC,16.316116,3.5996902,0.24450001,0.058,105.127
GEN,26.362637,6.0246105,0.25027,0.253,356.98
GEV,40.991535,17.51471,0.42641,0.038,9.727
GILD,21.605783,8.184858,0.40706003,0.03,116.243
GIS,9.557851,2.6494846,0.27173,-0.072,147.23
GL,10.16087,1.9793903,0.22277,0.04,55.217
GLW,56.420765,7.0656266,0.14904,0.204,68.53
GM,26.415094,1.2424197,0.04318,-0.051,208.299
GNRC,32.440155,3.7300775,0.11969,-0.05,56.133
GOOG,33.45158,10.568164,0.3545,0.159,11.424
GOOGL,33.45529,10.558892,0.3545,0.159,11.424
GPC,23.922548,4.0393505,0.16994,0.049,133.159
GPN,10.820513,0.7488361,0.07233,0.005,69.198
GRMN,25.26817,4.575552,0.19655001,0.117,2.342
GS,18.316233,2.6168313,0.13885,0.152,528.8
GWW,30.301346,14.443106,0.46719003,0.061,68.67
HAL,22.198675,2.6884825,0.12274,0.008,77.42
HAS,16.879639,30.839088,-0.62839,0.083,771.392
HBAN,12.397163,1.268045,0.10095,0.111,
HCA,17.036636,-18.690475,,0.067,
HD,25.378725,30.762093,0.0162909,0.028,544.586
HIG,10.13964,2.005792,0.21656,0.065,23.031
HII,29.48878,3.3108418,0.12387,0.161,58.708
HLT,43.45124,-14.105278,,0.035,
HOLX,31.091286,3.1866124,0.108559996,0.025,48.051
HON,30.015833,9.360267,0.28195998,-0.033,223.964
HOOD,42.152546,10.43533,0.27816,1.0,188.794
HPE,7.838766,1.149143,0.0023,0.144,97.265
HPQ,7.3082705,-51.70213,,0.042,
HRL,27.96591,1.7134304,0.06002,0.015,38.22
HSIC,23.810726,2.6627157,0.08347999,0.052,70.224
HST,17.647621,1.9130706,0.109239995,0.009,82.827
HSY,28.472221,8.6517105,0.31013,0.065,125.764
HUBB,31.158365,7.0441327,0.24991,0.041,58.21
HUM,18.380415,1.2675325,0.07159,0.111,69.686
HWM,58.779663,16.481585,0.30064,0.138,65.176
IBKR,34.19178,6.218236,0.23507999,0.186,120.995
IBM,27.780798,8.797545,0.35158002,0.122,197.328
ICE,31.827839,3.458102,0.114930004,0.026,67.954
IDXX,53.76584,34.35614,0.64633006,0.133,71.29
IEX,31.666668,3.7122557,0.12197,0.101,48.121
IFF,15.606417,1.256389,-0.03232,-0.079,46.872
INCY,17.105984,4.219692,0.30389,0.2,0.887
INTC,46.742508,2.0306764,0.00022,-0.041,37.282
INTU,34.242966,7.1914325,0.21987,0.41,
INVH,27.84375,1.702331,0.06,0.065,85.691
IP,13.502652,1.434263,-0.24678,0.311,69.583
IQV,32.3699,6.3628316,0.19374001,0.052,242.366
IR,65.71756,3.3602653,0.05382,0.051,47.62
IRM,173.8302,-30.864323,,0.126,
ISRG,64.47826,9.973889,0.16690001,0.188,
IT,18.582447,27.461025,0.010925701000000001,0.027,512.089
ITW,25.36505,23.626335,0.91683,0.023,278.654
IVZ,8.987972,0.9906705,-0.01219,0.062,14.034
J,52.835938,4.4240203,0.06523,,58.069
JBHT,33.124184,5.3789005,0.15787,-0.016,49.755
JBL,38.194847,18.851534,0.47823003,0.187,255.828
JCI,45.69349,5.637971,0.11374,0.031,86.383
JKHY,27.235563,5.981842,0.2345,0.073,3.17
JNJ,20.621595,6.897442,0.35557,0.091,57.766
JPM,15.317477,2.4087536,0.16134001,0.025,
KDP,23.058823,1.4721031,0.06291,0.107,73.567
KEY,14.251656,1.3267572,0.09482,0.01315,
KEYS,44.059067,6.3000174,0.1582,0.103,47.237
KHC,9.524422,0.67813075,-0.09693,-0.023,50.968
KIM,24.8,1.3613174,0.056700002,0.056,78.195
KKR,48.21097,3.7419355,0.07672,0.132,74.351
KLAC,41.497818,34.26124,0.010072600000000001,0.072,111.778
KMB,20.281948,22.097237,0.0126603,-0.172,441.104
KMI,22.094202,2.1770797,0.09826,0.131,98.626
KO,24.368078,10.300151,0.42442,0.051,144.771
KR,54.652172,5.0940185,0.07997,0.007,357.991
KVUE,23.199999,3.1345701,0.13469,-0.035,85.659
L,15.168103,1.1943793,0.08182,0.046,49.123
LDOS,17.481894,4.9037633,0.2929,0.067,105.551
LEN,13.947703,1.229937,0.08406,-0.058,27.728
LH,26.463936,2.5912848,0.10135999,0.086,75.557
LHX,40.14637,3.265238,0.08191,0.023,53.186
LII,21.742643,14.811225,0.80047995,-0.112,152.24
LIN,30.587015,5.525702,0.17979999,0.031,64.673
LLY,50.24952,39.049324,0.9647,0.539,178.516
LMT,29.498604,21.609592,0.76865,0.091,338.804
LNT,20.726416,2.318652,0.11461,0.119,163.145
LOW,22.071074,-14.430995,,0.032,
LRCX,47.840164,28.790234,0.65565,0.221,44.195
LULU,12.001375,4.570097,0.41017,0.071,39.156
LUV,60.151897,3.0723476,0.04812,0.074,74.94
LVS,22.4383,22.757877,0.74239,0.26,847.509
LW,16.641304,3.635716,0.23164,0.011,224.846
LYB,11.339784,1.4878694,-0.10584,-0.102,124.319
LYV,107.74074,64.187996,0.5636,0.111,473.811
MA,32.574966,62.259068,0.0209915,0.176,245.288
MAA,28.333336,2.7025397,0.09408,0.006,87.122
MAR,33.794212,-27.232681,,0.056,
MARA,3.830645,0.6972477,0.23066,0.917,70.386
MAS,16.946152,-175.77127,0.056387095,-0.033,1888.69
MCD,26.946108,-103.72078,,0.03,
MCHP,28.813784,6.1280165,-0.02854,-0.02,80.841
MCK,25.710176,-59.27054,,0.101,
MCO,41.510468,23.243317,0.54914004,0.107,181.347
MDLZ,21.496325,2.8819993,0.13101,0.059,83.621
MDT,27.382978,2.712972,0.09822,0.066,59.563
MET,14.716417,1.8006666,0.12798001,-0.059,163.999
META,30.48936,8.3443,0.30238,0.238,39.164
MGM,167.7,3.4120042,0.10293,0.016,913.283
MKC,20.888514,2.8929024,0.14243001,0.029,73.211
MLM,33.553783,4.038743,0.12523,0.124,60.618
MMM,26.047619,17.109028,0.75501,0.02,268.991
MNST,45.37079,10.186681,0.25538,0.168,0.779
MO,15.046118,-29.688698,,-0.005,
MOH,11.388078,2.1854312,0.19708,0.116,91.911
MOS,7.2559366,0.68295836,0.101169996,0.228,37.134
MPC,18.683987,3.1018822,0.18887,-0.008,143.175
MPWR,30.398865,15.093313,0.64029,0.189,0.528
MRK,14.320779,5.2899976,0.39485002,0.037,79.708
MRNA,-6.44044,1.8468695,-0.29317,-0.454,7.867
MRSH,22.323843,5.9597178,0.29352,0.087,140.052
MS,17.851562,2.9023705,0.15729,0.11,420.553
MSCI,38.75445,-16.89134,,0.106,
MSFT,26.960527,8.178086,0.34390998,0.167,31.539
MSI,32.358524,28.83731,0.011517,0.078,423.891
MTB,13.018214,1.2771194,0.09797,0.047,
MTCH,14.488371,-33.244396,,0.021,
MTD,34.72162,-112.56988,,0.079,
MU,41.488,7.943936,0.22554001,0.567,21.244
NCLH,16.511276,4.558854,0.39870998,0.047,699.717
NDAQ,31.355988,4.5222874,0.15253,0.025,77.387
NDSN,32.37382,5.044004,0.16215,0.01,68.747
NEE,26.880735,3.3625338,0.083739996,0.207,143.833
NEM,19.710527,3.6958451,0.22875999,0.2,16.914
NFLX,33.00277,13.245083,0.42762002,0.176,63.782
NI,23.433863,2.3176348,0.09073,0.183,140.579
NKE,36.1462,6.494012,0.17950001,0.006,80.099
NOC,23.920525,5.8953376,0.26167,0.096,107.257
NOW,70.06587,9.452298,0.15488,0.207,18.536
NRG,22.986446,22.229828,0.64186996,0.057,615.076
NSC,22.82445,4.204053,0.19248,-0.017,109.905
NTAP,17.113676,19.34739,0.0125346,0.028,277.789
NTRS,17.235292,2.3063388,0.13492,0.082,
NUE,23.919247,1.9464645,0.09361,0.086,32.187
NVDA,47.66334,39.06991,0.0107359,0.625,9.102
NVR,17.482668,5.5306807,0.33185002,-0.05,27.243
NWS,37.46988,2.0147707,0.070250005,0.023,31.439
NWSA,32.566265,1.7511014,0.070250005,0.023,31.439
NXPI,28.918158,5.6760626,0.20872,-0.024,117.34
O,56.629627,1.4407198,0.02488,0.103,73.977
ODFL,34.70942,8.508129,0.25059,-0.043,1.994
OKE,14.45073,2.2588284,0.17847,0.719,152.218
OMC,11.165217,3.2227566,0.27007,0.04,128.056
ON,85.557144,3.0706522,0.03891,-0.12,45.833
ORCL,31.772202,15.78705,0.69026,0.142,432.511
ORLY,34.409092,-93.19129,,0.078,
OTIS,24.405714,-6.1782146,,0.033,
OXY,33.375,1.5985209,0.05955,-0.077,62.221
PANW,111.30189,14.132726,0.15324001,0.157,4.951
PAYC,16.697647,4.2483764,0.28557,0.092,4.943
PAYX,23.127802,9.5429735,0.40884998,0.183,129.814
PCAR,27.252771,3.3522432,0.12922,-0.137,89.189
PCG,12.743801,1.1148869,0.0876,0.052,185.52
PEG,19.70335,2.4162414,0.12579,0.221,138.209
PEP,28.240808,10.848044,0.37162,0.027,260.19
PFE,15.195402,1.6199989,0.105979994,-0.059,66.531
PFG,13.888563,1.7905143,0.13767,0.222,34.137
PG,22.221085,6.7474327,0.31562,0.015,68.719
PGR,10.833333,4.020334,0.40448,0.122,22.745
PH,34.129833,8.253649,0.25781,0.091,68.925
PHM,11.444647,1.870169,0.17673999,-0.063,16.66
PKG,25.908033,4.182406,0.16903,0.101,91.618
PLD,37.843475,2.3514156,0.06127,0.04,60.666
PLTR,357.5366,53.01627,0.19504,0.628,3.52
PM,25.38048,-25.594067,,0.094,
PNC,13.533334,1.4389648,0.12158,0.096,
PNR,26.948849,4.558709,0.17966999,0.029,44.76
PNW,19.211498,1.5622494,0.087749995,0.029,197.565
PODD,74.58017,13.001118,0.19679001,0.299,77.711
POOL,23.247026,6.871197,0.29307,0.013,100.725
PPG,16.83115,3.3266206,0.21275999,0.05,99.56
PPL,24.659863,1.8600236,0.076620005,0.084,132.089
PRU,15.055555,1.2114307,0.085,-0.083,148.723
PSA,28.829855,9.766266,0.19933,0.031,106.758
PSKY,373.6667,1.0252423,0.01279,-0.004,111.017
PSX,38.905148,2.1489408,0.056199998,-0.029,77.483
PTC,25.263756,4.877691,0.2085,0.427,35.802
PWR,71.48042,8.429625,0.13369,0.175,71.612
PYPL,10.665992,2.454808,0.24358,0.073,60.239
QCOM,30.378757,7.6773863,0.2334,0.1,73.767
RCL,20.78425,8.7469015,0.47731,0.132,215.081
REG,33.426605,2.0151546,0.0602,0.077,73.101
REGN,17.887817,2.4409072,0.14864999,0.025,8.657
RF,12.391305,1.3996661,0.1165,0.156,
RJF,16.2131,2.6451685,,0.075,48.456
RL,26.256315,8.307711,0.34005,0.165,111.231
RMD,25.575247,5.9526663,0.25676,0.11,13.411
ROK,55.553356,12.970255,0.20282,0.138,98.275
ROL,58.648148,20.037962,0.36208,0.12,59.534
ROP,25.70845,1.9904455,0.07929,0.097,46.782
ROST,29.522692,10.3796425,0.37425,0.104,88.181
RSG,31.95988,5.616807,0.18249,0.033,113.763
RTX,40.34739,4.141776,0.109519996,0.121,58.843
RVTY,55.794872,1.6820235,0.0304,0.022,45.676
SBAC,23.158491,-3.9842026,,0.097,
