Date,Open,High,Low,Close,Volume
2017-03-03,130.20324506036968,130.9937533303971,128.8347548704218,130.05874633789062,802000
2017-03-06,129.616762883286,130.44976091113875,128.43526104837358,130.21176147460938,665400
2017-03-07,130.0248331178974,130.64533107104248,129.30232608464354,130.5433349609375,694700
2017-03-08,131.00227400088502,131.6142763379199,130.02477711339785,130.07577514648438,760300
2017-03-09,130.20327330925326,130.61128352359378,128.67328040047124,129.353271484375,870100
2017-03-10,130.44130920155854,131.43580995904392,130.0503025850254,131.16380310058594,847800
2017-03-13,131.1552960404265,131.3848001855101,130.42429388608582,131.2827911376953,609600
2017-03-14,130.40726640365583,130.44127373671748,128.40977008119503,129.582763671875,852600
2017-03-15,129.89724020026057,133.70524342775457,129.31073706863882,132.99974060058594,1110000
2017-03-16,133.35675792089333,133.4587539681667,131.2997554909071,132.27725219726562,721100
2017-03-17,132.90626282773363,133.43325971744443,132.22625889165747,132.59176635742188,909700
2017-03-20,132.62578673812845,132.73629112829508,131.8182875799848,132.5577850341797,893900
2017-03-21,133.39925218809347,133.6712459536752,130.52624265104038,131.02774047851562,979900
2017-03-22,130.83228934534108,131.73328927349255,130.15228523937787,131.41879272460938,741000
2017-03-23,131.44426058910426,132.19226622537326,130.54326087450562,130.96826171875,864300
2017-03-24,131.1382416716365,131.6652384966059,129.68474624470653,130.2627410888672,541400
2017-03-27,129.17478473416597,130.37329047914423,126.98177836143957,129.92279052734375,816600
2017-03-28,129.73580814174315,132.58330703189736,129.43830225665192,131.8693084716797,581800
2017-03-29,131.54626897589802,132.23478130293003,131.07877837939162,131.29977416992188,541600
2017-03-30,131.20620667605178,132.59171300341396,130.90020567645004,132.07321166992188,661800
2017-03-31,131.94578006755364,133.19528379173317,131.90327738217368,132.35379028320312,799700
2017-04-03,132.1072641345796,132.9232714825012,130.84075691822108,132.01376342773438,649000
2017-04-04,131.81832397608645,134.30032849052367,131.19782608997775,132.5663299560547,981200
2017-04-05,133.24629436532123,135.81330375785672,131.75879102703078,131.90328979492188,1401900
2017-04-06,131.90326416115306,133.10176973074658,131.32526920191484,132.49827575683594,591800
2017-04-07,132.08179723837023,132.82980307501973,131.68229530015972,131.98829650878906,1375000
2017-04-10,132.25173954745992,133.85824197632957,132.1837378662915,132.6427459716797,548600
2017-04-11,132.09875755146837,132.7957521495821,131.12124788668046,132.69375610351562,635100
2017-04-12,132.31127109758782,132.73627195838952,127.5767552826582,127.69575500488281,1886200
2017-04-13,127.25378581163228,127.94228525192845,126.09778274829573,126.165771484375,1332400
2017-04-17,126.41230030246751,128.1038089760863,126.06379636463627,127.94230651855469,885200
2017-04-18,126.99024941224104,127.52575463625546,126.07225898535448,127.10075378417969,842800
2017-04-19,128.19727162171986,129.69327004957134,126.55676148112359,127.14326477050781,839800
2017-04-20,127.86573551896332,131.02774253469076,127.39824501109652,130.74725341796875,1474600
2017-04-21,130.67926584932442,131.15526472547705,129.9992618962507,130.5517578125,816000
2017-04-24,132.59175110788226,133.70525110226882,132.2517426939508,133.40774536132812,1366400
2017-04-25,134.5042647603758,136.60376985779098,133.82426085145664,136.1192626953125,1989900
2017-04-26,137.50479451436846,140.2502966907145,135.60928116614983,135.96629333496094,2074600
2017-04-27,136.1788103813715,136.9948049438229,134.92930654824303,135.3798065185547,1152000
2017-04-28,134.74222652918695,135.71972295822408,133.71371912098942,133.7477264404297,1450600
2017-05-01,134.41077550217366,134.41077550217366,132.08176613112275,133.0252685546875,1206600
2017-05-02,133.06775530026468,133.71375185787417,131.40174642959397,132.5747528076172,1360700
2017-05-03,131.91180776842498,132.66830900274675,130.44130799227162,131.3592987060547,1486400
2017-05-04,131.80979493322835,132.17528950819806,130.1012828902329,131.665283203125,1454500
2017-05-05,131.94580306698768,133.0168138572569,131.6907998802569,132.9318084716797,709500
2017-05-08,133.00824717351185,133.2972575756579,131.9627488336746,132.71075439453125,675100
2017-05-09,132.68533564909958,133.6883319215385,132.0648247652996,133.5608367919922,720000
2017-05-10,133.6882920233002,134.95479946882708,133.30579377881196,133.99429321289062,1036000
2017-05-11,133.56722278313575,134.3615477289998,132.18354021475878,133.98573303222656,668200
2017-05-12,133.64411075596814,133.86617718657112,132.70457387104716,132.98643493652344,519900
2017-05-15,133.6611699632715,135.463362693178,133.6611699632715,134.9679718017578,1067600
2017-05-16,135.27550966367124,135.27550966367124,133.74662779252975,134.5238800048828,807000
2017-05-17,134.52389483207045,134.52389483207045,130.5778647541707,131.31240844726562,1167000
2017-05-18,130.44112609682162,132.70453747217633,129.63825171225693,131.72230529785156,959100
2017-05-19,132.627680894627,135.07046329603128,132.13228999836122,134.4042510986328,856200
2017-05-22,134.95091484844397,136.86414770014036,134.95091484844397,135.33526611328125,1017900
2017-05-23,135.7196089941771,136.5395696036326,134.55800573326695,135.454833984375,820300
2017-05-24,135.76230135091754,136.16373858643493,134.38716833906298,134.9594268798828,722000
2017-05-25,135.09608194952563,136.1551948385795,134.5494459819432,136.02706909179688,1060600
2017-05-26,135.80502173955944,136.3772803301197,135.18151805623725,136.04417419433594,447000
2017-05-30,135.71957565749076,136.53099956284166,135.45480071272513,136.1295623779297,506500
2017-05-31,136.14665197575525,136.59933429768412,134.8740221786772,135.56585693359375,1268900
2017-06-01,136.01855505422378,138.5552914721159,135.3608792707028,137.57305908203125,815200
2017-06-02,137.51328972972334,140.00731801678194,137.1716470180626,138.7005157470703,940500
2017-06-05,138.5467826945418,139.2386176682716,138.04284209230366,138.5040740966797,622900
2017-06-06,138.05991025861866,138.47843361093186,136.42000196919633,136.4370880126953,908300
2017-06-07,136.47119873581522,136.56515239253721,133.51595286588366,134.5408935546875,1109200
2017-06-08,134.54095177245773,137.06060252396384,134.36158088370746,136.70187377929688,658000
2017-06-09,137.2655605988865,139.20440262177155,137.2655605988865,138.47840881347656,705700
2017-06-12,138.38448324361403,138.9909009576461,137.4620323650094,137.76951599121094,892100
2017-06-13,137.8378073653837,138.66630431270102,137.19721774835457,137.5217742919922,622100
2017-06-14,137.41932358286758,137.65847606593658,135.5744218281928,136.53958129882812,662700
2017-06-15,135.29254825258576,138.08552317597622,135.0192367398285,138.02574157714844,880400
2017-06-16,138.4442268179578,140.186637898744,137.62427939521194,140.1524658203125,1112000
2017-06-19,140.79310449020483,141.26287298605786,139.19590463713837,140.12689208984375,694600
2017-06-20,139.27273533690283,140.0072786901985,138.32466209058904,138.4954833984375,583500
2017-06-21,139.0933520683263,139.23000126989734,136.54806682574954,136.7615966796875,621700
2017-06-22,136.88117000206998,137.59009066619603,136.086845217859,137.11178588867188,393400
2017-06-23,137.82926356098048,138.72609166868082,136.80432273767852,138.52964782714844,1331000
2017-06-26,139.16170074655582,139.41793923417947,137.7438721096559,137.82073974609375,359400
2017-06-27,138.04281723587985,138.2563471539073,135.88189550806862,136.1210479736328,511800
2017-06-28,136.92387857852628,137.35093827743395,136.3259976066211,137.11178588867188,707800
2017-06-29,137.47909098343777,138.46985977436668,134.97651387970382,135.65127563476562,858200
2017-06-30,136.12105669685334,138.97382648947004,136.12105669685334,138.33323669433594,702600
2017-07-03,138.9481461094952,140.0157954238336,138.4869273401456,139.08480834960938,403400
2017-07-05,138.8456614909859,139.91331084796363,138.00009154127014,139.63999938964844,698900
2017-07-06,139.38376989369632,140.61370411721836,138.7260941983461,139.0421142578125,705200
2017-07-07,139.32400684499783,141.37390202637732,138.8029932859242,140.44290161132812,553100
2017-07-10,139.57170583415837,141.61305143283775,139.52899724181793,140.66497802734375,559200
2017-07-11,140.57949955886184,140.78449289303214,139.37518815716174,140.2122344970703,642600
2017-07-12,140.8187248956135,141.80950697488984,140.6137444880623,141.5532684326172,535400
2017-07-13,141.55322188747178,142.1681889735809,140.96387734388145,141.51051330566406,638900
2017-07-14,141.83507288013843,143.32124540550947,141.6044569809124,142.9283447265625,766000
2017-07-17,142.80881790924653,142.928394151523,141.86074447661412,142.0401153564453,485000
2017-07-18,141.78386293442114,141.9290617120407,140.9297432781897,141.3482666015625,580900
2017-07-19,141.35676807643145,142.95396726727333,141.22010583742133,142.9283447265625,684100
2017-07-20,142.79170135939515,143.46646310816868,141.46782647160563,142.49276733398438,685300
2017-07-21,141.7496301757913,142.3218884839643,140.01575618501434,140.9980010986328,633600
2017-07-24,141.3311586603457,141.3311586603457,139.73395932118095,140.04144287109375,937100
2017-07-25,141.16033783350014,142.02299386368878,138.1709194899104,139.30690002441406,1452500
2017-07-26,135.36946189025136,140.84436031163887,134.9509384652159,139.03363037109375,1939200
2017-07-27,139.6229041083877,142.3902557503072,139.4606193316169,140.90408325195312,1018800
2017-07-28,140.91266238882676,140.92974843176907,139.45212502164716,140.47706604003906,653400
2017-07-31,140.92971498249813,142.32193391313353,140.7247216143415,140.95533752441406,636700
2017-08-01,141.09201303068392,141.39094705874226,138.83713790034787,139.70834350585938,824100
2017-08-02,139.34958125170778,141.92048910396014,139.34958125170778,141.11761474609375,786000
2017-08-03,141.0407579240864,141.8692548859338,140.7759829629901,141.3824005126953,519400
2017-08-04,141.46786190954458,141.82659064959776,140.71623234019495,140.84434509277344,536300
2017-08-07,140.8955835310776,142.23654460767096,140.78454380580934,141.630126953125,708200
