Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2017-01-03,194.9989471435547,195.5097296950616,193.82154223916174,194.82578887310643,91366500
2017-01-04,196.1590576171875,196.3062315970069,195.3192901010652,195.32794273159945,78744400
2017-01-05,196.00320434570312,196.15904415548493,195.2067264571573,195.89066731598953,78379000
2017-01-06,196.70445251464844,197.17194549722691,195.57032397093968,196.11574345904899,71559900
2017-01-09,196.05519104003906,196.58329217335805,196.02055409450634,196.4447708114754,46939700
2017-01-10,196.05519104003906,196.91226389517416,195.6655980584786,196.0724963026813,63771900
2017-01-11,196.60922241210938,196.60922241210938,195.30194879751116,195.96857115415494,74650000
2017-01-12,196.11570739746094,196.3061708912984,194.75650505702336,196.08973630376664,72113200
2017-01-13,196.56591796875,196.86891850056966,196.2542515979421,196.28887532353392,62717900
2017-01-17,195.87335205078125,196.33219243744952,195.48377233513563,195.9252942515177,61240800
2017-01-18,196.30615234375,196.34944189919,195.57026953162273,196.12434149494902,54793300
2017-01-19,195.57899475097656,196.52264657954166,195.14612548538287,196.3841252441225,66608800
2017-01-20,196.29750061035156,196.7909645562848,195.63087844186998,196.2628636817948,129168600
2017-01-23,195.78677368164062,196.35816431223958,195.024932717631,196.29756948118217,75061600
2017-01-24,197.04209899902344,197.45764980363037,195.8906651438575,196.00320217232323,95555300
2017-01-25,198.74761962890625,198.74761962890625,197.8299256030772,197.99441805308547,84437700
2017-01-26,198.53981018066406,198.86879503523576,198.26276752205186,198.6004050059098,59970700
2017-01-27,198.22813415527344,198.7648877675818,198.04632326813524,198.61771381614628,59711100
2017-01-30,196.998779296875,197.5615039834957,196.0118380305686,197.5355328878129,79737300
2017-01-31,196.9814910888672,197.0420991281839,195.93395484175775,196.50533224467114,75880800
2017-02-01,197.05938720703125,197.89915458354585,196.47069138562182,196.9814739148072,79117700
2017-02-02,197.18927001953125,197.47496532159104,196.36682105245578,197.05940131307403,69657600
2017-02-03,198.5485076904297,198.73031862750614,197.78666662727952,198.09833308360768,80563200
2017-02-06,198.19349670410156,198.53980000962594,197.85585923754053,198.141554510803,57790100
2017-02-07,198.2021942138672,198.82552705329329,198.0117306679246,198.5831213057523,57931200
2017-02-08,198.46189880371094,198.59175429486405,197.6567551281981,198.20217461128354,51566200
2017-02-09,199.63931274414062,199.9423133072741,198.46190780053314,198.46190780053314,65955200
2017-02-10,200.42710876464844,200.65220922169698,199.65660205348237,199.98558689986365,66015900
2017-02-13,201.51792907714844,201.777653236608,200.89459637849333,200.92056747342733,55182100
2017-02-14,202.32310485839844,202.33177069873477,200.98987324872715,201.3361633989964,71109000
2017-02-15,203.37928771972656,203.569751247365,202.05470886577277,202.1066510623794,86785800
2017-02-16,203.20614624023438,203.58707330222083,202.45295795592938,203.40526240077406,84722400
2017-02-17,203.52647399902344,203.52647399902344,202.5222141034397,202.5395325733972,77204100
2017-02-21,204.7384796142578,204.91162465277733,203.8900464683087,203.89871230681246,88946100
2017-02-22,204.55670166015625,204.78178892544693,204.16712195825545,204.33161439486557,62115200
2017-02-23,204.69522094726562,205.09345327495478,203.93336681064753,205.07614801557466,74615900
2017-02-24,204.9550018310547,204.998278201595,203.80356767800026,203.84685725866592,82381600
2017-02-27,205.27525329589844,205.44839835137117,204.6172968010536,204.86835514997097,56515400
2017-02-28,204.72119140625,205.1367422021414,204.3316117094692,204.89433647036128,96961900
2017-03-01,207.5867462158203,208.05425233534552,206.36605193831684,206.38337040462645,149158200
2017-03-02,206.27952575683594,207.40498850158158,206.22758355802213,207.3963226616981,70246000
2017-03-03,206.40936279296875,206.57385521458173,205.81200113979344,206.19292817718758,81974300
2017-03-06,205.79469299316406,206.14963571837134,205.18866550938688,205.61288210600682,55391500
2017-03-07,205.17999267578125,205.84661491621947,204.97221071236544,205.49165901584544,65103700
2017-03-08,204.799072265625,205.73407131587817,204.6605509522276,205.4743471557879,78168800
2017-03-09,205.05882263183594,205.38780749066854,204.08919973437727,204.9203013007358,90683900
2017-03-10,205.77740478515625,206.06310010120356,204.82508706499857,206.01981053026506,81991700
2017-03-13,205.88128662109375,205.9245761914927,205.3878225068882,205.71679417965117,57256800
2017-03-14,205.09347534179688,205.3878365145119,204.47880831462683,205.3358811004165,59880800
2017-03-15,206.8682098388672,207.29242645521649,205.43108077298604,205.6648338644537,96081800
2017-03-16,206.46127319335938,207.08460584762935,206.1323016109136,207.00669256837523,78344000
2017-03-17,206.09873962402344,206.91607632998918,206.09873962402344,206.72478419592946,89002100
2017-03-20,205.8726806640625,206.38568537526632,205.4814061092052,206.0987471636798,52537000
2017-03-21,203.2293701171875,206.60305326782938,203.0989496933602,206.4813231163934,131809300
2017-03-22,203.7076416015625,203.99457985953848,202.6381541073568,203.2641988033782,97569200
2017-03-23,203.49021911621094,204.6292683476359,203.11633839891192,203.70759532885208,100410300
2017-03-24,203.3424072265625,204.36841659360624,202.55985815907462,203.79455346899104,112504900
2017-03-27,203.13375854492188,203.39461270446392,201.38605823089944,201.66429293817558,87454500
2017-03-28,204.61187744140625,205.03792630534875,202.71635006402084,202.82938993449883,93483900
2017-03-29,204.80323791503906,205.03800802129322,204.09894086387223,204.32502069493023,61950400
2017-03-30,205.45529174804688,205.65528741288264,204.56840636847858,204.74230468206505,56737900
2017-03-31,204.97705078125,205.64655987380408,204.92486935243195,205.1161614553301,73733100
2017-04-03,204.6205291748047,205.229179771225,203.38583417418405,205.0291974183129,85546500
2017-04-04,204.75100708007812,204.8379628758166,203.95106417613255,204.33364844923514,56466200
2017-04-05,204.14234924316406,206.4117574503944,203.93366330117362,205.42921271646054,108800600
2017-04-06,204.71620178222656,205.2378966750352,203.83799348780911,204.28144940442454,69135800
2017-04-07,204.50750732421875,205.20311375317107,204.02058680422888,204.4640294347363,74412300
2017-04-10,204.62924194335938,205.42918471054742,204.09884352225117,204.64663575305178,67615300
2017-04-11,204.38583374023438,204.49017008978706,202.89028414787975,204.24670976243561,88045300
2017-04-12,203.49021911621094,204.29886552638334,203.26415263139694,204.10757339785184,81864400
2017-04-13,202.16859436035156,203.8902237413726,202.16859436035156,203.1511392150925,92880400
2017-04-17,203.9597930908203,203.9597930908203,202.49032752612953,202.69030996009775,68405400
2017-04-18,203.35107421875,203.89017619255569,202.66417129526803,203.22065381162992,83225800
2017-04-19,202.97723388671875,204.29018156053755,202.751154112652,203.9163008074154,68699900
2017-04-20,204.62924194335938,205.0726978511844,203.27281667431922,203.59452918188688,92572200
2017-04-21,203.97715759277344,204.6032022014737,203.5771927562991,204.55103402868073,110389800
2017-04-24,206.22044372558594,206.42912964572335,203.95103575600228,206.22913399691217,119209900
2017-04-25,207.4203643798828,207.7681609789066,206.77692607734,206.86388186089084,76698300
2017-04-26,207.2899169921875,208.27246155743893,207.24645237087708,207.38556304073046,84702500
2017-04-27,207.46388244628906,207.76820121246766,206.92478036554024,207.61169669287736,57410300
2017-04-28,207.01170349121094,207.75077460749748,206.88126981121428,207.7246905250162,63532800
2017-05-01,207.53341674804688,207.95947891220902,207.11605812387444,207.53341674804688,66882500
2017-05-02,207.61166381835938,207.79425239563585,207.20299550290594,207.67252225492143,57375700
2017-05-03,207.35951232910156,207.7073222286767,206.68129960941886,207.61167616474242,73137700
2017-05-04,207.60293579101562,207.7420597261616,206.75082490652684,207.66380748798775,61462700
2017-05-05,208.42030334472656,208.4376971561057,207.5334047106597,207.97686066148847,62001300
2017-05-08,208.38551330566406,208.61157976621558,207.9594511982815,208.46376554959463,48385700
2017-05-09,208.1942596435547,208.84638833191315,207.84644971587488,208.64640591574235,51363200
2017-05-10,208.568115234375,208.568115234375,207.9420707076507,208.15075663908897,54293800
2017-05-11,208.14205932617188,208.3072673578563,207.0551783467639,208.1159752440733,62358300
2017-05-12,207.79428100585938,208.18555556434342,207.52473660485018,207.88992707727476,53912700
2017-05-15,208.94203186035156,209.06376201665978,208.20294738217117,208.22034119524147,61918900
2017-05-16,208.75071716308594,209.26372181869624,208.35944265063046,209.23763773570525,51241800
2017-05-17,205.046630859375,208.7507165771963,204.98575915417317,208.7507165771963,172174100
2017-05-18,205.8726806640625,206.72479175848824,204.70753400464056,204.9683881304094,107047700
2017-05-19,207.21170043945312,207.88122289456138,206.30742122551788,206.3595893941461,115011400
2017-05-22,208.2637939453125,208.42900198055088,207.65514323726882,207.7246919459678,61010600
2017-05-23,208.7246551513672,208.88986320617354,208.25511507269738,208.6376993538085,48341700
2017-05-24,209.2116241455078,209.31596051262738,208.62035377410842,208.9594735024371,46927700
2017-05-25,210.21151733398438,210.48976529357435,209.51592397019533,209.72459667229487,64071700
2017-05-26,210.1680450439453,210.33323983789248,209.9419652681153,210.02021752855225,46629900
2017-05-30,209.98544311523438,210.23759371022007,209.68981461970841,209.84631914054245,35201900
2017-05-31,209.93324279785156,210.31582703587898,209.23763629849174,210.28103941373627,91796000
2017-06-01,211.60269165039062,211.62008546156184,210.107142311839,210.39408049200662,68962000
2017-06-02,212.30703735351562,212.46355515494636,211.35928007391888,211.654908594007,88666100
2017-06-05,212.15052795410156,212.42007237903493,211.95053225310502,212.1331341393207,44698800
2017-06-06,211.47225952148438,212.14176863719882,211.39399400934454,211.58528611886004,50375400
2017-06-07,211.8636016845703,212.08966821912088,211.1419109077127,211.81143350487358,54144300
2017-06-08,211.96792602539062,212.44615642481844,211.43752744922398,211.95923575179856,65950700
2017-06-09,211.6461944580078,213.03739436088486,210.37671144488533,212.23745143152235,132256400
2017-06-12,211.60269165039062,211.65485981631375,210.75058064926858,211.40270925848853,86108100
2017-06-13,212.63742065429688,212.6895888241833,211.7939998608889,212.14179650519276,60067000
2017-06-14,212.3678741455078,212.91565319144027,211.5418339052444,212.90696291907645,78602300
2017-06-15,211.959228515625,212.08095867972415,210.73322333374514,211.01145802271776,66464900
2017-06-16,212.00547790527344,212.1714915818924,211.12300028970273,212.11906901712646,84553100
2017-06-19,213.77047729492188,213.83163251853753,212.73945115411766,212.8355636474783,65123800
2017-06-20,212.32875061035156,213.42093177270073,212.31128531100248,213.41219912302617,56906400
2017-06-21,212.27635192871094,212.83554821345143,211.80453547970438,212.72197042574658,55977600
2017-06-22,212.18026733398438,212.78315361584285,212.00552097183666,212.28512581710726,44148100
2017-06-23,212.43365478515625,212.76566886400533,211.85697980758178,212.24142979263144,66986800
2017-06-26,212.57342529296875,213.52581752080175,212.36373501566268,213.1064103016071,56700500
2017-06-27,210.86093139648438,212.6521117287246,210.8434527593857,212.35502822722248,82247700
2017-06-28,212.74822998046875,212.94918764950285,211.64730246251216,211.88321740668772,70042600
