Date,Open,High,Low,Close,Volume
2017-01-03,60.51904714353703,60.75771276782436,59.82862065854146,60.109901428222656,1744000
2017-01-04,60.30593512812164,60.67245909291321,59.93941116333008,59.93941116333008,1606300
2017-01-05,59.98204876501335,60.60428320608884,59.9138567294255,60.1695671081543,2464200
2017-01-06,60.01612280006563,60.34855072285649,59.82007239534761,59.82859802246094,1570600
2017-01-09,59.96500580504986,60.07581950400686,59.385386428621565,59.479148864746094,2262500
2017-01-10,59.308674156956215,59.64962787262642,58.96772044128602,59.231956481933594,2089900
2017-01-11,59.20638355443885,59.89681008430301,59.11262112406829,59.7774772644043,1731900
2017-01-12,59.63256144738344,59.760419871143206,59.146704639616,59.57289505004883,1337800
2017-01-13,59.76043255889864,59.913861399354964,59.42800448843509,59.4876708984375,1611500
2017-01-17,59.27457140898941,59.42800023847335,59.138187336936795,59.22343063354492,1795000
2017-01-18,59.18079546640138,59.385365024599395,59.18079546640138,59.31717300415039,1422300
2017-01-19,59.129674405476194,59.40243607501123,59.02738634071887,59.300148010253906,1162100
2017-01-20,59.427983259612624,59.521745656572804,59.197836829565404,59.3768424987793,1331300
2017-01-23,59.40242250985163,59.55585132037498,59.01032810588079,59.10408401489258,1005000
2017-01-24,59.11260391065485,59.342750355692246,58.81427194778142,59.291603088378906,1090900
2017-01-25,59.29160213091758,59.64960698373356,59.29160213091758,59.3853645324707,1931800
2017-01-26,59.4024312333905,59.53880880546692,59.32571356528762,59.436527252197266,1137000
2017-01-27,59.53881675014045,59.53881675014045,59.27458069806749,59.35981750488281,1134600
2017-01-30,59.40243178013713,59.40243178013713,59.12967013032312,59.325714111328125,1146200
2017-01-31,59.41947391604889,59.649620409169245,59.10409063046376,59.240474700927734,1374100
2017-02-01,59.08702609900195,59.33421726662941,58.81426455250756,58.96769332885742,1719000
2017-02-02,58.94215259928166,59.41095828834171,58.865434920941816,59.35981750488281,1613200
2017-02-03,59.47913908676937,59.65813829817591,59.30866550537751,59.36833190917969,1351300
2017-02-06,59.50471121827316,59.60699927199741,59.078520749147806,59.17228317260742,1006200
2017-02-07,59.22343388844147,59.74338030805426,59.20638262692252,59.5814323425293,1554800
2017-02-08,59.5388173212816,59.777482983914574,59.45358051364862,59.675201416015625,1604200
