Date,Open,High,Low,Close,Volume
2017-03-20,164.9533794504547,166.71901272361865,164.32214304603934,165.31932067871094,292400
2017-03-21,166.24331157977866,167.01176729179588,160.99216962919738,161.24832153320312,277800
2017-03-22,161.25752433507586,161.69664001464844,159.66571080267607,161.69664001464844,170000
2017-03-23,162.1997534798968,164.05686174779865,161.43129777439913,162.44676208496094,213400
2017-03-24,162.68463535839572,163.03227611168938,160.65370646357178,161.67831420898438,210600
2017-03-27,160.47987482617376,161.68746012073203,158.97955046456758,159.68397521972656,404800
2017-03-28,153.46314613648627,153.71929811016898,149.93189226016253,150.55398559570312,1221300
2017-03-29,150.2794543600857,150.92897725345884,148.0930064702958,150.36178588867188,682500
2017-03-30,150.26117920016213,150.82837066078275,149.2182711175074,150.42584228515625,398700
2017-03-31,150.3984320629055,151.95365821812234,150.0599485619209,150.86500549316406,325100
2017-04-03,151.56023793303638,152.77696634611007,149.4012335388778,150.23373413085938,419700
2017-04-04,150.27037542650828,151.92623391117166,147.91926325415767,148.52305603027344,506900
2017-04-05,148.28515329346908,149.6208144956816,146.94950605048862,147.20565795898438,502200
2017-04-06,147.4069061279297,148.95297466691795,146.7848130183915,147.4069061279297,364500
2017-04-07,146.93124297167603,147.2239821020912,144.305678260335,146.29086303710938,461500
2017-04-10,146.30914574142264,147.18739102776289,145.4309144143176,146.05299377441406,211700
2017-04-11,146.22676530152287,146.85800170898438,145.10152568256964,146.85800170898438,348400
2017-04-12,147.2056811524445,147.27886941772212,145.48579181650567,145.6413116455078,264900
2017-04-13,145.7785545590256,145.7785545590256,144.20504164914232,144.4703369140625,257000
2017-04-17,144.76306714959668,147.4618196235906,143.55548182173789,147.37033081054688,283900
2017-04-18,146.5378500767306,147.84606769382557,146.45551850929218,147.4526824951172,290400
2017-04-19,147.9924122524274,149.3555033273731,147.9924122524274,149.1450958251953,359400
2017-04-20,150.03252704326923,150.03252704326923,148.0107411160492,148.6602783203125,304400
2017-04-21,149.1084944748718,149.29145810973841,146.78481303845086,148.34918212890625,260200
2017-04-24,150.58139203166613,150.79179953792337,147.882625760869,149.23658752441406,238400
2017-04-25,149.91355643892683,150.03248909845922,148.36748770193503,149.22743225097656,200500
2017-04-26,149.09018809197835,149.8769442544385,148.29428863386318,149.55674743652344,193000
2017-04-27,150.18802328735038,150.3069559582713,149.27319094914938,149.87698364257812,242300
2017-04-28,150.2154284185005,150.23372896913247,148.68766048263808,149.35548400878906,252900
2017-05-01,150.27951334452996,150.27951334452996,148.36750313289997,149.08108520507812,185700
2017-05-02,149.5751011605148,149.84955367926185,148.56877991152072,149.33724975585938,169100
2017-05-03,149.01703432196064,149.6665714037067,148.58706201979774,149.34637451171875,137100
2017-05-04,149.37380039713946,150.93816960013183,148.88894044820947,150.05078125,270700
2017-05-05,150.22457250676945,150.8466515814325,149.57503562895002,150.09649658203125,268100
2017-05-08,149.88612603254543,149.99591540474327,147.13248573656756,147.4984130859375,196800
2017-05-09,147.78202408373645,149.37383753169874,147.39779613958729,148.78834533691406,239000
2017-05-10,148.2394571512193,148.77921895342007,146.83062119582812,147.544189453125,253800
2017-05-11,146.55609359944,147.62644543730255,146.2907984434144,147.3428497314453,226300
